City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Marsa Matruh,EG,31.35,27.25,80.6,69,0,8.05,clear sky
1,Uppsala,SE,60.0,17.75,66.2,59,21,10.29,few clouds
2,Auki,SB,-8.77,160.7,77.05,89,100,3.69,light rain
3,Barrow,US,71.29,-156.79,37.4,100,90,14.99,mist
4,Hobart,AU,-42.88,147.33,41.0,86,40,4.7,scattered clouds
5,Los Llanos De Aridane,ES,28.66,-17.92,81.0,73,20,17.22,few clouds
6,Tasiilaq,GL,65.61,-37.64,48.2,76,0,10.29,clear sky
7,Ribeira Grande,PT,38.52,-28.7,75.2,88,75,6.93,broken clouds
8,Punta Arenas,CL,-53.15,-70.92,37.4,55,40,28.86,scattered clouds
9,Veraval,IN,20.9,70.37,81.05,86,100,18.39,moderate rain
10,Maldonado,UY,-34.67,-54.92,64.4,36,0,13.87,clear sky
11,Pedasi,PA,7.53,-80.03,82.71,71,14,7.76,few clouds
12,Nikolskoye,RU,59.7,30.79,64.4,77,75,2.24,broken clouds
13,Bluff,NZ,-46.6,168.33,43.0,92,40,15.28,scattered clouds
14,Ajdabiya,LY,30.76,20.23,79.34,69,0,17.22,clear sky
15,Georgetown,MY,5.41,100.34,82.4,88,20,3.36,few clouds
16,Lalin,ES,42.72,-8.12,80.01,64,20,12.75,few clouds
17,Hermanus,ZA,-34.42,19.23,57.0,93,100,6.76,overcast clouds
18,Thinadhoo,MV,0.53,72.93,83.8,72,72,8.41,broken clouds
19,Lodja,CD,-3.48,23.43,72.86,90,100,2.26,light rain
20,Busselton,AU,-33.65,115.33,44.01,78,1,4.61,clear sky
21,Dingle,PH,11.0,122.67,76.68,87,94,0.76,overcast clouds
22,Avarua,CK,-21.21,-159.78,71.6,78,3,3.36,clear sky
23,Mvuma,ZW,-19.28,30.53,62.35,49,92,5.75,overcast clouds
24,Santa Rosalia,MX,27.32,-112.28,91.69,39,35,8.01,scattered clouds
25,Pucallpa,PE,-8.38,-74.55,78.8,54,40,4.7,scattered clouds
26,Upernavik,GL,72.79,-56.15,44.58,84,83,8.95,broken clouds
27,Clyde River,CA,70.47,-68.59,42.76,89,100,8.12,overcast clouds
28,Vaini,TO,-21.2,-175.2,73.4,94,20,5.82,few clouds
29,Saldanha,ZA,-33.01,17.94,59.0,72,91,4.7,overcast clouds
