City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Punta Arenas,CL,2020-08-23 03:03:05,-53.15,-70.92,33.8,74,1,16.11
1,Ostrovnoy,RU,2020-08-23 03:03:05,68.05,39.51,58.69,75,68,15.9
2,Mataura,NZ,2020-08-23 03:03:05,-46.19,168.86,57.0,73,95,5.01
3,Herat,AF,2020-08-23 03:03:06,34.5,62.0,69.8,16,20,5.26
4,Naberera,TZ,2020-08-23 03:03:07,-4.2,36.93,56.16,87,100,8.08
5,Saint-Philippe,RE,2020-08-23 03:03:07,-21.36,55.77,69.8,55,33,8.05
6,Rikitea,PF,2020-08-23 03:03:07,-23.12,-134.97,67.1,74,100,19.35
7,Sal Rei,CV,2020-08-23 03:03:08,16.18,-22.92,78.8,94,40,2.24
8,Agadez,NE,2020-08-23 03:03:08,19.75,10.25,90.43,38,100,11.92
9,Nikolskoye,RU,2020-08-23 03:03:09,59.7,30.79,59.0,93,90,8.95
10,Albany,US,2020-08-23 03:00:29,42.6,-73.97,73.99,66,1,3.91
11,Beloha,MG,2020-08-23 02:59:24,-25.17,45.05,62.24,84,0,12.39
12,Katherine,AU,2020-08-23 03:03:10,-14.47,132.27,87.8,16,0,14.99
13,Ushuaia,AR,2020-08-23 03:03:11,-54.8,-68.3,41.0,48,15,18.34
14,Martin,US,2020-08-23 03:03:11,27.08,-80.42,84.99,74,40,13.87
15,Kodiak,US,2020-08-23 03:03:11,57.79,-152.41,62.6,67,1,3.36
16,Bredasdorp,ZA,2020-08-23 03:03:12,-34.53,20.04,48.2,93,25,6.93
17,Murashi,RU,2020-08-23 03:03:12,59.4,48.96,54.39,93,0,4.9
18,Khatanga,RU,2020-08-23 03:03:13,71.97,102.5,61.84,50,4,10.02
19,Asau,RO,2020-08-23 03:03:13,46.43,26.4,55.99,97,0,1.97
20,Boyolangu,ID,2020-08-23 03:03:13,-8.12,111.89,84.02,61,30,9.53
21,Rawson,AR,2020-08-23 03:03:14,-43.3,-65.1,56.55,38,0,17.07
22,Ust-Kalmanka,RU,2020-08-23 03:03:14,52.12,83.31,61.36,65,99,5.19
23,Yellowknife,CA,2020-08-23 02:58:46,62.46,-114.35,59.0,58,40,10.29
24,Busselton,AU,2020-08-23 03:03:15,-33.65,115.33,64.0,56,17,11.79
25,Narsaq,GL,2020-08-23 03:03:16,60.92,-46.05,42.8,75,0,4.7
26,Ambilobe,MG,2020-08-23 03:03:16,-13.2,49.05,62.08,74,88,3.8
27,Butaritari,KI,2020-08-23 03:03:17,3.07,172.79,83.17,65,98,7.38
28,Port Alfred,ZA,2020-08-23 03:03:17,-33.59,26.89,57.27,85,0,11.5
29,Senno,RU,2020-08-23 03:03:18,59.53,33.92,60.22,71,99,9.15
30,Port Hedland,AU,2020-08-23 03:03:18,-20.32,118.57,91.4,10,0,11.41
31,Cape Town,ZA,2020-08-23 03:03:18,-33.93,18.42,46.0,100,22,3.36
32,Dikson,RU,2020-08-23 03:03:19,73.51,80.55,48.13,75,88,9.35
33,Cayenne,GF,2020-08-23 03:03:19,4.93,-52.33,75.2,100,6,5.88
34,Hasaki,JP,2020-08-23 03:03:20,35.73,140.83,80.01,94,75,6.93
35,Avarua,CK,2020-08-23 03:03:20,-21.21,-159.78,77.0,69,1,8.05
36,Bluff,NZ,2020-08-23 03:03:16,-46.6,168.33,57.0,73,85,5.01
37,Morrinhos,BR,2020-08-23 03:03:21,-17.73,-49.1,59.81,85,54,6.13
38,Thompson,CA,2020-08-23 03:03:21,55.74,-97.86,51.8,71,75,3.36
39,Ghanzi,BW,2020-08-23 03:03:23,-21.57,21.78,50.45,87,0,8.81
40,Ereymentau,KZ,2020-08-23 03:03:23,51.62,73.1,58.44,69,71,10.45
41,Little Current,CA,2020-08-23 03:03:23,45.98,-81.92,68.0,94,20,5.82
42,La Asuncion,VE,2020-08-23 03:03:24,11.03,-63.86,82.4,83,77,11.41
43,Hilo,US,2020-08-23 03:00:09,19.73,-155.09,84.2,66,90,6.93
44,Desnogorsk,RU,2020-08-23 03:03:25,54.15,33.28,52.5,91,69,4.59
45,Trairi,BR,2020-08-23 03:03:25,-3.28,-39.27,77.7,82,20,14.9
46,Cherskiy,RU,2020-08-23 03:03:26,68.75,161.3,35.83,94,100,21.09
47,Vaini,TO,2020-08-23 03:03:08,-21.2,-175.2,80.6,83,20,13.87
48,Purpe,RU,2020-08-23 03:03:27,64.48,76.69,57.99,91,63,15.97
49,Puerto Ayora,EC,2020-08-23 03:03:28,-0.74,-90.35,64.99,95,73,4.0
50,Vieksniai,LT,2020-08-23 03:03:28,56.23,22.52,64.4,93,34,8.05
51,Namibe,AO,2020-08-23 03:03:28,-15.2,12.15,62.71,84,1,5.86
52,Popova,RU,2020-08-23 03:03:29,42.96,131.72,73.4,73,75,4.47
53,Chuy,UY,2020-08-23 03:03:29,-33.7,-53.46,45.21,75,0,5.97
54,Arraial Do Cabo,BR,2020-08-23 03:03:18,-22.97,-42.03,65.97,66,68,11.68
55,Hithadhoo,MV,2020-08-23 03:03:30,-0.6,73.08,83.34,79,8,14.61
56,Carutapera,BR,2020-08-23 03:03:30,-1.2,-46.02,76.24,91,0,4.38
57,East London,ZA,2020-08-23 03:03:31,-33.02,27.91,60.42,65,0,10.2
58,Jamestown,US,2020-08-23 02:59:04,42.1,-79.24,69.8,73,1,1.63
59,Lorengau,PG,2020-08-23 03:03:31,-2.02,147.27,83.86,74,9,2.35
60,New Norfolk,AU,2020-08-23 03:01:07,-42.78,147.06,53.01,87,57,1.99
61,Bethel,US,2020-08-23 03:03:32,41.37,-73.41,71.6,83,1,4.7
62,Ribeira Grande,PT,2020-08-23 03:03:33,38.52,-28.7,72.57,86,99,8.34
63,Moose Factory,CA,2020-08-23 03:03:33,51.26,-80.61,53.6,81,90,5.82
64,Iqaluit,CA,2020-08-23 03:01:06,63.75,-68.51,41.0,93,75,3.36
65,Llanes,ES,2020-08-23 03:03:34,43.42,-4.75,61.0,98,8,3.0
66,Upernavik,GL,2020-08-23 03:03:34,72.79,-56.15,44.08,71,88,5.32
67,Vila Velha,BR,2020-08-23 02:59:51,-20.33,-40.29,62.6,93,90,19.46
68,Lavrentiya,RU,2020-08-23 03:03:35,65.58,-171.0,46.99,94,100,6.55
69,Nsanje,MW,2020-08-23 03:03:35,-16.92,35.26,61.5,89,31,4.09
70,Flin Flon,CA,2020-08-23 03:03:36,54.77,-101.86,56.68,61,76,10.76
71,Atambua,ID,2020-08-23 03:03:36,-9.11,124.89,85.75,35,8,4.21
72,Kapuskasing,CA,2020-08-23 03:00:10,49.42,-82.43,60.8,82,75,4.29
73,Nemuro,JP,2020-08-23 03:02:33,43.32,145.57,73.4,64,75,10.29
74,Barrow,US,2020-08-23 03:03:37,71.29,-156.79,42.8,87,90,20.8
75,Srednekolymsk,RU,2020-08-23 03:03:37,67.45,153.68,36.77,94,100,9.71
76,Tura,IN,2020-08-23 03:03:38,25.52,90.22,79.48,89,2,4.47
77,Makakilo City,US,2020-08-23 03:01:36,21.35,-158.09,89.6,49,1,5.82
78,Leningradskiy,RU,2020-08-23 03:03:38,69.38,178.42,51.67,70,41,6.08
79,Ensley,US,2020-08-23 03:03:39,30.52,-87.27,82.4,74,20,10.29
80,Ulladulla,AU,2020-08-23 03:03:25,-35.35,150.47,57.2,41,33,19.46
81,Torbay,CA,2020-08-23 03:03:40,47.67,-52.73,61.0,77,20,13.87
82,Faya,SA,2020-08-23 03:00:20,18.39,42.45,68.0,72,22,3.49
83,Manggar,ID,2020-08-23 03:03:40,-2.88,108.27,84.4,73,89,13.02
84,Ayan,RU,2020-08-23 03:03:41,56.45,138.17,61.66,56,26,1.12
85,Mitsamiouli,KM,2020-08-23 03:03:41,-11.38,43.28,76.53,70,100,12.53
86,Bafra,TR,2020-08-23 03:03:42,41.57,35.91,71.6,78,20,13.87
87,Fortuna,US,2020-08-23 03:03:42,40.6,-124.16,61.0,87,1,10.29
88,Numan,NG,2020-08-23 03:03:43,9.47,12.03,74.17,95,100,2.42
89,Mar Del Plata,AR,2020-08-23 03:03:43,-38.0,-57.56,51.01,57,0,8.05
90,Castro,BR,2020-08-23 03:03:43,-24.79,-50.01,40.1,89,0,6.04
91,Kavieng,PG,2020-08-23 03:03:44,-2.57,150.8,81.1,75,100,1.61
92,Havre-Saint-Pierre,CA,2020-08-23 03:03:45,50.23,-63.6,50.0,93,20,6.93
93,Atuona,PF,2020-08-23 03:03:45,-9.8,-139.03,78.62,77,4,17.65
94,Harper,LR,2020-08-23 03:03:45,4.38,-7.72,75.54,88,77,12.1
95,Radinac,RS,2020-08-23 03:03:46,44.63,20.97,68.0,77,0,2.24
96,Gamba,GA,2020-08-23 03:03:46,-2.65,10.0,72.3,88,80,5.88
97,Carnarvon,AU,2020-08-23 03:03:47,-24.87,113.63,73.4,46,99,19.46
98,Souillac,MU,2020-08-23 03:03:47,-20.52,57.52,69.8,83,75,8.05
99,Kahului,US,2020-08-23 03:03:47,20.89,-156.47,87.8,55,40,18.34
100,Bambous Virieux,MU,2020-08-23 03:03:48,-20.34,57.76,69.8,83,75,8.05
101,Kapaa,US,2020-08-23 03:03:48,22.08,-159.32,86.0,62,20,13.87
102,Necochea,AR,2020-08-23 03:02:05,-38.55,-58.74,46.0,61,0,13.0
103,Petropavl,KZ,2020-08-23 03:03:49,54.88,69.16,55.4,93,90,6.71
104,Hamilton,US,2020-08-23 03:00:59,39.18,-84.53,71.6,88,1,1.52
105,Hobart,AU,2020-08-23 03:03:50,-42.88,147.33,53.01,81,75,18.34
106,Wasilla,US,2020-08-23 03:01:18,61.58,-149.44,71.6,49,20,5.82
107,Mount Pleasant,US,2020-08-23 03:03:51,32.79,-79.86,82.4,94,40,7.25
108,Wloclawek,PL,2020-08-23 03:03:51,52.65,19.07,61.68,94,73,6.08
109,Chokurdakh,RU,2020-08-23 02:59:51,70.63,147.92,39.81,75,100,8.25
110,Ugoofaaru,MV,2020-08-23 03:03:52,5.67,73.0,83.62,67,67,4.12
111,Dingle,PH,2020-08-23 03:03:52,11.0,122.67,86.86,66,100,3.89
112,Tuktoyaktuk,CA,2020-08-23 03:03:53,69.45,-133.04,51.8,81,20,12.75
113,Port Elizabeth,ZA,2020-08-23 03:03:53,-33.92,25.57,55.4,93,75,5.82
114,Moree,AU,2020-08-23 03:03:54,-29.47,149.85,57.2,41,40,17.22
115,Zamora,EC,2020-08-23 03:03:54,-4.07,-78.96,67.82,73,100,2.53
116,Pisco,PE,2020-08-23 03:01:18,-13.7,-76.22,60.8,87,90,14.99
117,Raton,US,2020-08-23 03:03:55,36.9,-104.44,78.8,22,1,16.11
118,Ban Phai,TH,2020-08-23 03:03:55,16.06,102.73,80.6,88,40,5.82
119,Kikwit,CD,2020-08-23 03:03:55,-5.04,18.82,75.79,76,76,2.82
120,Namatanai,PG,2020-08-23 03:03:56,-3.67,152.43,81.36,79,86,3.27
121,Nanortalik,GL,2020-08-23 03:03:56,60.14,-45.24,43.93,81,0,0.87
122,Pacific Grove,US,2020-08-23 03:03:57,36.62,-121.92,69.8,64,1,4.7
123,Valle De Allende,MX,2020-08-23 02:59:45,26.93,-105.4,73.58,50,61,6.06
124,Lompoc,US,2020-08-23 03:03:23,34.64,-120.46,71.01,68,1,6.93
125,Tasiilaq,GL,2020-08-23 03:03:58,65.61,-37.64,41.0,75,0,6.93
126,Burnie,AU,2020-08-23 03:02:50,-41.07,145.92,55.0,51,58,18.01
127,Lebu,CL,2020-08-23 03:03:58,-37.62,-73.65,48.04,87,0,3.65
128,Linxia,CN,2020-08-23 03:02:55,35.6,103.21,58.75,85,100,3.91
129,Zapolyarnyy,RU,2020-08-23 03:03:59,69.42,30.81,59.0,87,51,18.34
130,Mogadishu,SO,2020-08-23 03:01:09,2.04,45.34,75.96,81,92,15.21
131,Hermanus,ZA,2020-08-23 03:04:00,-34.42,19.23,54.0,84,19,9.13
132,Mocuba,MZ,2020-08-23 03:04:00,-16.84,36.99,63.46,87,84,4.0
133,Fare,PF,2020-08-23 03:04:01,-16.7,-151.02,76.48,80,32,20.02
134,Glendive,US,2020-08-23 03:04:01,47.11,-104.71,84.2,26,1,9.17
135,Imbituba,BR,2020-08-23 03:04:02,-28.24,-48.67,51.8,81,28,1.12
136,Norman Wells,CA,2020-08-23 03:04:02,65.28,-126.83,69.8,46,20,11.41
137,Katangli,RU,2020-08-23 03:04:02,51.71,143.23,59.31,88,81,9.33
138,Thunder Bay,CA,2020-08-23 03:00:42,48.4,-89.32,66.0,100,90,4.7
139,Safaga,EG,2020-08-23 03:04:03,26.73,33.94,82.4,45,0,9.17
140,Soma,TR,2020-08-23 03:04:03,39.19,27.61,77.0,88,0,7.16
141,North Bend,US,2020-08-23 03:04:04,43.41,-124.22,68.0,72,1,20.8
142,Oriximina,BR,2020-08-23 03:00:38,-1.77,-55.87,83.98,47,83,2.01
143,Cidreira,BR,2020-08-23 03:04:05,-30.18,-50.21,54.21,77,0,7.34
144,Coihaique,CL,2020-08-23 03:01:43,-45.58,-72.07,46.4,65,100,6.93
145,Katsuura,JP,2020-08-23 03:04:05,35.13,140.3,81.0,79,100,1.99
146,Miraflores,MX,2020-08-23 03:04:06,19.22,-98.81,66.2,55,5,17.22
147,Pokhara,NP,2020-08-23 03:03:02,28.23,83.98,77.38,75,47,2.93
